Ticker,Growth Estimate,Earnings Surprise,Beta,EV/Revenue,EV/EBITDA,EPS,P/E ratio,P/S ratio,B/M ratio,D/E ratio,Return on Equity,"Interest Coverage,",Net Profit Margin,Gross Profit Margin,Operating Profit Margin,Operating Cash Flow Ratio,AER,EFIR,Holding Period Return,Current MarketCap,Issue
WEI,0,-0.2917,0.38,0,0,1.401,1.05,0.2744,16.7839,0.7226,0.0398,-8.2755,0.1836,0.893,0.792,0,0,0,-0.549,103578000,N
GVP,9.34%,0,1.65,-46.42,0.7,-0.757,0,2.1941,0.5303,1.9081,-0.3282,-7.25,-0.3819,0.2904,0.9924,0.2508,0.0741,-0.2947,-0.2717,34644000,N
TUFN,0,-0.064,0,-15.9,5.79,-1.083,0,21.2672,0.1473,0.8737,-0.0761,55.5591,-0.2383,0.8011,1.2451,-0.2196,-0.0374,-0.3774,-0.3018,641121000,N
ZIXI,17.00%,0.0237,1.16,16.83,3.48,-0.286,0,7.6584,0.107,6.4155,-0.0746,-2.7148,-0.0611,0.5228,1.0155,0.1191,0.0145,0.2075,0.2614,464478000,N
ABST,0,0,0.78,31.56,5.3,0,0,0,0,-3.26,-0.0583,-40.6012,0.1051,0.8797,0.8494,0.0843,0.0207,-0.9318,0,613142000,N
CLDR,0,1,1.24,-58.02,5.37,-0.575,0,15.4909,0.4386,0.5989,-0.0447,0,-0.3036,0.7331,1.3044,-0.0445,-0.0041,0.5846,0.2299,4378000000,N
PAYA,0,0,0,50.2,8.38,0,0,0,0,0,0,-1.8761,-0.0125,0.5103,0.9276,0.1745,0,-0.0695,0,1506000000,Y
FEYE,0,2.25,1.26,-81.68,5.21,-0.992,0,16.5408,0.1804,3.1195,-0.0701,0.8172,-0.2094,0.6567,1.1493,0.1681,0.0137,0.2733,0.3902,4925000000,N
ENV,22.80%,0.179,1.51,32.81,4.74,-0.128,0,15.8903,0.228,1.075,0.0041,-3.4275,0.015,0.2711,0.9857,0.1954,0.026,-0.5247,0.1593,4140000000,N
MTC,0,0,4.35,-21.11,115.24,-0.096,0,3527.5996,0.1159,0.3058,-0.0964,0,-39.4036,-29.5898,40.0212,-19.8976,-0.0373,0.5283,-0.2132,43097000,N
FICO,30.60%,0.2703,1.18,34.76,10.66,8.98,50.12,0,0,0,0,0,0,0,0,0,0,0,0.3459,13159000000,Y
RNG,147.82%,0.1013,0.7,-1274.39,30.98,-1.215,0,52.323,0.0564,0.9455,-0.0339,-0.2754,-0.0999,0.7355,1.041,-0.0244,-0.0042,-0.4283,1.3266,33425000000,N
IDN,0,0.7777,2.22,-450.27,19.07,-0.036,0,45.8268,0.0885,0.1913,0.009,0,0.0367,0.8876,0.9753,0.0859,0.0178,1.3565,0.5687,213184000,N
ALTR,0,0.3143,1.53,141.56,8.96,-0.2,0,12.6114,0.227,1.0951,-0.0042,-3.5314,-0.0121,0.7017,0.9665,0.0112,0.0019,-0.0317,0.6103,4120000000,N
EVOP,0,0.2127,1.73,20.58,4.66,-0.256,0,9.4436,-0.4823,-2.6075,0.0058,-3.4564,-0.0265,0.8186,0.9155,-0.0072,-0.0005,-0.7436,0.019,1068000000,N
EPAY,-3.52%,-0.0283,1.29,51.32,4.86,-0.179,0,21.636,0.1638,0.7552,0.0066,-18.3659,0.0234,0.5788,0.9859,0.2147,0.0345,-0.6051,-0.0175,2156000000,N
NUAN,-1.80%,0.303,1.21,58.06,9.6,0.075,607.2,12.0981,0.2452,2.0517,0.0392,-3.7504,0.1164,0.575,0.8566,0.128,0.0141,-5.5559,1.4758,12974000000,N
VHC,0,0,0.33,1.13,0.6,3.993,1.52,6234.5076,0.0258,0.3323,-0.7971,0,-128.1714,1,129.6571,-90.6286,-0.423,-1.1113,0.6511,429905000,N
OCFT,0,-0.0573,0,0,0,0,0,5.0709,1.115,1.2372,-0.1417,13.8779,-0.8013,0.3362,1.8159,-0.4453,-0.0347,-6.4303,1.1065,8003000000,N
AMSWA,-1.26%,0.5833,0.5,68.44,4.64,0.2,96.05,14.6749,0.2665,0.443,0.0275,0,0.1074,0.57,0.9079,0.2961,0.0525,-0.2239,0.1652,625981000,N
TYL,20.30%,0.05,0.67,75.07,14.7,4.547,92.98,41.6597,0.1344,0.3553,0.0289,-32.6794,0.162,0.4926,0.843,0.2638,0.0348,0.4838,0.4376,17050000000,N
BLKB,14.61%,0.2763,1.2,32.8,4.11,0.47,141.47,16.4317,0.1015,4.023,0.0033,-1.7117,0.0056,0.5104,0.9714,0.2538,0.0303,4.2391,-0.2708,3296000000,N
PTC,-5.01%,0.3893,1.33,47.29,10.72,1.01,131.59,24.4251,0.1451,2.0347,0.0056,-2.7829,0.0199,0.7691,0.8093,0.2442,0.0227,5.8417,0.5873,15506000000,N
ZEN,0,0.4077,1.37,-183.29,17.47,-1.615,0,38.729,0.0514,2.3071,-0.079,2.8567,-0.1573,0.7314,1.1275,0.1401,0.0213,0.3346,0.8518,16829000000,N
LPSN,-27.36%,0.3703,1.34,-88.41,12.35,-1.871,0,31.46,0.0597,2.4518,-0.1839,4.5225,-0.3455,0.721,1.2423,-0.2367,-0.0365,-0.165,0.6577,4238000000,N
QTWO,0,2.5167,1.71,-138.7,18.35,-2.29,0,50.2752,0.0869,1.6605,-0.0413,1.925,-0.1804,0.4841,1.153,0.0218,0.0019,1.181,0.5782,6897000000,N
ANY,0,-0.0913,1.88,-5.41,7.17,-1.225,0,5.6244,-1.1457,-0.9947,0.23,570.5,-1.4821,0.3837,2.2504,-0.3372,-0.0448,-1.0531,0.8773,16600000,N
FTNT,47.39%,0.1747,1.09,43.22,8.91,2.679,54.03,28.2572,0.0761,1.9393,0.0871,0,0.1875,0.7713,0.8073,0.3099,0.049,-0.23,0.384,23498000000,N
CRNC,0,2.016,0,67.26,13.16,0,0,10.43,1.1464,0.7943,-0.0127,-1.8853,-0.1518,0.6921,0.9295,0.1221,0.0057,11.3579,3.6689,4188000000,N
NET,0,0.3253,0,-305.49,58.92,-0.723,0,47.9637,0.1803,0.1447,-0.0388,165.6408,-0.3355,0.7832,1.3567,-0.1022,-0.0103,0.1746,3.5049,23558000000,N
INS,-24.72%,0.009,1.17,23.13,9.04,1.079,37.53,35.1029,0.1031,0.1864,0.0991,0,0.3588,0.7007,0.6138,0.2821,0.0657,0.0162,-0.0064,361550000,N
PS,0,0.4993,2.29,-21.33,7.17,-1.159,0,23.0781,0.0893,4.2943,-0.171,5.7127,-0.3524,0.7861,1.44,-0.0891,-0.0077,-1.0595,0.2539,3107000000,N
EEFT,19.76%,0.2843,1.6,19.3,2.6,0.605,206.55,11.8939,0.1914,1.9492,0.0674,-15.3324,0.1534,0.418,0.8455,0.202,0.0301,-0.3236,-0.0975,6537000000,N
CSGS,7.69%,0.083,0.95,9.92,1.65,2.111,20.41,6.5428,0.238,2.2346,0.0569,-5.796,0.0886,0.4823,0.8751,0.171,0.0339,-0.6101,-0.1161,1420000000,N
PRGS,15.14%,0.033,1.12,13.77,4.74,1.76,22.83,16.7583,0.1784,1.7143,0.0644,-14.2317,0.1925,0.8793,0.7076,0.301,0.0371,-0.8194,0.0943,1777000000,N
NLOK,1.98%,0.9673,1.04,16.93,6.12,0,0,13.7648,1.02,1.1375,0.3279,-4.1765,4.6036,0.8333,0.746,0.6456,0.0215,-1.01,0.4437,12471000000,N
SCWX,0,2.8667,1.17,91.24,1.74,-0.217,0,1.4689,3.1974,0.5715,-0.0078,14.4685,-0.0368,0.5437,1.0882,0.3028,0.041,0.0133,-0.1661,1138000000,N
AGYS,9.02%,3.3787,1.41,132.88,5.83,-1.108,0,15.1468,0.1195,1.154,-0.3762,4113,-0.6806,0.4956,1.077,0.1337,0.0343,-0.0085,0.5218,869627000,N
ACIW,-4.36%,0.713,1.27,23.88,4.35,0.522,73.54,10.9718,0.2575,1.8829,0.0491,-6.7975,0.1387,0.5672,0.7439,0.1218,0.015,-0.5846,0.0242,4482000000,N
STNE,0,0.036,2.4,0,0,0.188,382.45,26.9096,0.6894,2.2826,0.044,-0.5432,0.8167,0.6015,0.9697,-2.0608,-0.0338,-2.2771,1.17,22159000000,N
TEAM,38.15%,0.1637,0.99,1337.96,31.5,-4.799,0,38.3172,0.052,3.4393,-0.1937,0.2318,-0.3859,0.8283,1.0484,0.3798,0.0429,-0.0564,0.9613,57598000000,N
DAVA,0,0.294,0.92,0,0,0.419,188.69,30.1588,0.0733,0.6957,-0.0727,1.1799,-0.1608,0.0894,1.1334,0.1291,0.0344,1.1198,0.6264,4804000000,N
MSFT,18.17%,0.1277,0.83,23.72,11.09,6.707,34.58,33.6624,0.0971,1.493,0.0939,-26.1675,0.307,0.6866,0.6295,0.4998,0.0613,-0.8367,0.4216,1.75E+12,N
BL,0,0.6317,0.94,-4368.57,21.76,-0.7,0,36.7997,0.135,1.5329,-0.0238,0.8717,-0.1182,0.8116,1.0584,0.1025,0.0081,0.5182,1.5814,7421000000,N
TCX,9.38%,0.1707,0.72,22.62,2.95,0.892,89.57,7.5946,0.1443,3.5217,0.0613,-12.0721,0.0672,0.3348,0.8877,0.1535,0.031,0.6477,0.196,847443000,N
MIME,39.09%,0.264,1.33,49.23,6.02,0.247,174.33,24.8466,0.0821,2.1811,0.0009,-17.2794,0.0019,0.7417,0.9791,0.175,0.027,0.383,0.3156,2751000000,N
DBD,-30.63%,0,3.45,11.73,0.86,-4.401,0,0.7116,-0.6471,-8.0634,0.2312,-1.5786,-0.1065,0.2378,0.9748,0.1115,0.0339,-0.2383,-0.0104,1061000000,N
BILL,0,0.556,0,-246.67,54.85,-1.701,0,76.695,0.1312,3.8687,-0.0193,324.6667,-0.1939,0.7496,1.2031,-0.0453,-0.0009,-143.2793,2.7165,9892000000,N
WTRH,0,0,-2.28,38.74,2.05,-0.094,0,0.7726,0.6879,6.8127,-0.9429,5.03,-0.5012,0.1975,1.3754,-0.5143,-0.1239,-0.0185,8.9333,392933000,N
WDAY,122.86%,0.1467,1.48,1054.17,12.99,-1.445,0,30.2071,0.0843,1.7413,-0.0515,4.3259,-0.1311,0.7083,1.1496,0.3043,0.0436,0.2094,0.4461,54607000000,N
MFGP,0,0,2.41,6.38,2.03,-2.58,0,5.0575,1.4672,1.2778,0.0057,-4.3641,0.0424,0.7752,0.8103,0.1159,0.0069,-11.2816,-0.5481,2046000000,N
PRO,-3.64%,0.0473,1.91,-33.09,6.84,-1.772,0,40.1217,0.0621,2.111,-0.1049,3.8093,-0.2614,0.5714,1.2239,0.1942,0.025,-1.853,-0.1746,1830000000,N
VERB,0,-0.903,0.96,-3.49,7.11,-0.798,0,0,0,0,0,0,0,0,0,0,0,0,0.2374,82676000,Y
BKI,21.29%,0.0917,0.77,38.38,13.03,1.515,53.92,33.5671,0.1885,1.0873,0.0068,-6.9935,0.043,0.4578,0.7288,0.5228,0.0396,-0.7279,0.3757,12828000000,N
SPRT,0,0,0.4,32.91,0.24,0.03,70.33,1.6289,1.528,0.1469,0.0047,0.0306,0.0118,0.2735,1.0068,0.051,0.0179,-27.9897,0.875,40889000,N
LINX,0,-0.7223,0.68,0,0,0,0,6.9383,1.163,0.4325,0.0053,-15.6583,0.0424,0.6479,0.9018,0.1354,0.0117,-2.9741,-0.1826,1213000000,N
SHOP,0,0,1.6,2173.14,52.39,1.619,678.56,86.3399,0.0691,0.1571,0.0003,20.0662,0.0015,0.5224,1.0595,0.1047,0.0152,0.2087,1.9342,1.32E+11,N
NTCT,-18.76%,0.2793,1.06,15.03,2.58,0.203,144.01,7.7285,1.0933,0.6102,0.0038,-9.7014,0.032,0.7265,0.9356,0.4675,0.0344,-0.4687,0.1341,2151000000,N
ECOM,0,0.54,1,22.89,3.87,0.601,34.11,7.5721,0.3784,0.4738,0.0544,-245.1538,0.1559,0.796,0.8377,0.158,0.0374,-0.2064,0.7952,594504000,N
COUP,0,2.2273,1.52,-412.13,46.01,-2.147,0,95.0143,0.0421,2.5769,-0.054,0.5383,-0.2158,0.6402,1.1352,0.1999,0.014,0.1654,1.3264,22365000000,N
CALX,-53.42%,1.135,1.5,30.78,3.23,0.54,55.93,4.9814,0.2979,1.1473,-0.046,9.6414,-0.0683,0.4487,1.0624,0.0123,0.0039,0.0641,2.6646,1866000000,N
PEGA,-4.97%,1.7657,1.24,-87.19,10.45,-0.806,0,23.0583,0.0845,0.8271,0.0017,2064.7333,0.0033,0.7194,1.0063,-0.1038,-0.0291,0.4291,0.6664,10285000000,N
DUOT,0,0,1.85,-3.12,1.69,-1.959,0,4.3002,-0.0742,-3.0888,-0.3159,-16.327,0.1007,0.5484,0.8907,-0.0689,-0.0715,0.6077,-0.3956,17317000,N
OTEX,12.79%,0.1527,0.89,15.11,4.59,0.97,46.18,15.2157,0.3405,1.3755,0.0269,-7.9041,0.1393,0.7536,0.7475,0.2686,0.0218,3.4329,0.0554,12158000000,N
DOX,6.34%,0.016,0.77,11.79,2.24,3.709,19.04,9.0308,0.3761,0.5793,0.0328,-16.5075,0.1113,0.3413,0.8622,0.1573,0.0291,-0.541,-0.0195,9259000000,N
PAGS,0,-0.014,1.63,0,0,0.696,70.33,5.8779,1.3423,0.8217,0.049,-0.5713,0.3866,0.2343,1.0322,0.6978,0.0485,-0.0041,0.6821,16053000000,N
PRCH,0,0,0,-20.52,8.33,0,0,0,,0,0,4.5324,-0.6893,0.74,1.4855,-0.3986,0,-0.9995,0,1207000000,Y
GSUM,0,-1.6943,1.47,0,0,-1.516,0,0.6928,-6.2556,-4.5868,0.4862,7.3893,-2.1072,0.6454,2.8232,0,0,0,0.3782,63373000,N
MYSZ,-15.28%,-0.25,2.25,-1.27,44.34,-1.344,0,926.1125,0.0355,1.8145,-1.1931,141.4545,-39.1875,0.375,49.9062,-41.75,-0.4517,-0.1991,-0.5734,12380000,N
STMP,30.72%,0.9623,0.39,19.45,5.42,8.202,27.84,9.4146,0.4394,0.3559,0.0305,-68.9646,0.1264,0.7251,0.7996,0.227,0.0405,-0.6472,1.5108,4163000000,N
GDS,0,-0.5533,1.16,0,0,-0.54,0,8.1389,1.0725,1.9563,-0.0101,-1.8064,-0.0879,0.2499,0.8918,0.0612,0.0023,37.5108,0.8314,19208000000,N
JCOM,14.31%,0.0647,1,10.27,3.99,4.426,23.19,0,0,0,0,0,0,0,0,0,0,0,0.0362,4594000000,Y
PCTY,53.98%,0.6297,1.36,117.07,17.72,1.12,167.38,48.9821,0.0511,6.0075,0.0165,-104.3883,0.0413,0.6569,0.9538,0.2101,0.012,24.935,0.7289,10169000000,N
BTBT,0,0,4.91,-116.46,64.4,0,0,0,,0,0,0,0,0,0,0,0,-14.0627,0,933011000,Y
CDAY,0,0.4193,1.38,148.56,16.86,0.081,1147.04,45.3196,0.1873,2.2331,-0.0008,-0.8194,-0.0068,0.4896,0.9053,0.1172,0.0043,22.7923,0.5498,13732000000,N
OLB,0,0,-0.77,556.46,3.74,0,0,0,#NAME?,-5.2383,0.0221,-0.9185,-0.0234,0.2526,0.968,0.2071,0.0461,-0.1184,0,31231000,N
OPRA,0,0,1.13,11.22,2.74,1.431,6.02,8.239,0.8542,0.1627,0.0241,-19.5852,0.1695,0.5738,0.9017,-0.13,-0.0159,-1.8309,-0.0948,990735000,N
SQ,0,1.1803,2.71,6517.2,12.7,0.659,327.71,18.0592,0.0723,1.6537,0.2279,0.4255,0.2976,0.4027,0.9868,0.0465,0.0134,-0.2072,2.5767,97384000000,N
CRM,45.87%,0.4543,1.17,100.45,10.01,3.858,58.47,30.731,0.2273,0.6269,-0.0073,-17.2333,-0.0511,0.7485,1.0074,0.3364,0.0296,0.0766,0.3691,2.07E+11,N
SEAC,-23.59%,-0.096,0.82,-4.56,1.28,-0.467,0,7.8959,0.3274,0.4598,-0.0009,0,-0.0022,0.7256,0.7943,-0.0919,-0.0243,-0.3089,-0.6576,44316000,N
XELA,0,0,2.06,19.72,1.24,-8.061,0,0.0476,-39.4286,-2.6935,0.4194,-0.4244,-0.788,0.1691,1.0088,-0.0764,-0.024,-0.6383,0.1311,105852000,N
SVMK,0,0.5833,1.38,-59.64,10.24,-0.686,0,29.9517,0.1196,1.6633,-0.0705,4.1906,-0.2525,0.759,1.2314,0.1117,0.0117,0.8455,0.4302,3585000000,N
NETE,0,-1.1547,2.14,-57.2,1.1,-1.616,0,0.9907,0.2591,4.4474,-0.6529,1.6062,-0.1676,0.13,1.0793,-0.0454,-0.0328,-1.4202,3.7941,61001000,N
SHSP,0,0.3903,1.76,-36.41,8.12,-0.544,0,23.4053,0.2008,0.3191,-0.0947,988.701,-0.445,0.653,1.4656,-0.3257,-0.0525,-2.4943,0.439,246134000,N
QADA,-0.95%,1.4723,1.32,106.96,4.05,0.156,415.32,11.2252,0.1316,1.7812,0.0035,-46.0473,0.0052,0.577,0.9955,0.1183,0.0288,-0.444,0.2296,1279000000,N
AZPN,23.26%,-0.0623,1.37,25.83,13.51,4.363,30.69,62.1277,0.047,1.9343,0.113,-16.2055,0.3296,0.881,0.6503,0.6164,0.072,0.391,0.083,9083000000,N
RP,39.54%,0.08,1.2,49,8.31,0.537,161.21,21.3601,0.2155,1.532,0.0172,-5.1263,0.0792,0.6097,0.8854,0.5135,0.0441,3.8971,0.6302,8817000000,N
OKTA,0,1.9627,0.98,-187.13,42.9,-1.925,0,82.8046,0.0293,3.824,-0.1245,3.9456,-0.3016,0.733,1.2664,0.1484,0.0127,0.7511,1.2793,33533000000,N
PBTS,0,0,0,-3.15,1.27,-0.895,0,34.2855,0.0473,4.1904,-0.6684,77.5961,-1.0831,0.2136,2.2172,0,0,0,-0.0739,125888000,N
AEYE,0,0.2333,2.08,-49.03,12.55,-0.626,0,12.9203,0.0339,4.8493,-0.9117,37.8765,-0.3999,0.6604,1.4205,-0.3627,-0.1414,0.0139,4.9109,239681000,N
PRTH,0,0.0833,0.62,17.23,2.25,0.29,27.03,3.0836,-0.7518,-4.6318,0.0567,-0.3818,-0.1315,0.5769,1.0439,0.5275,0.0619,-0.0348,1.856,527001000,N
SNCR,-16.04%,1.254,1.21,-65.82,1.52,-1.261,0,2.274,0.3693,3.1886,-0.0806,79.9423,-0.0677,0.5314,1.2006,0.229,0.039,-0.0127,-0.0086,222294000,N
ZS,0,1.7223,0.87,-259.15,54.78,-1.17,0,61.617,0.0511,1.1194,-0.0913,2.4462,-0.2879,0.8002,1.1346,0.0536,0.008,1.6632,3.3292,26798000000,N
DOMO,0,0.2203,3.06,-23.67,9.62,-3.299,0,12.8736,-0.0827,-5.407,0.6071,8.5845,-0.6467,0.687,1.5896,-0.3309,-0.0705,0.0143,1.899,1898000000,N
DBX,0,0.217,0.89,41.23,4.99,0.194,116.65,12.4652,0.1454,2.3389,-0.0082,-12.7407,-0.0148,0.7648,1.0148,0.4188,0.0692,-0.2109,0.2841,9360000000,N
AVLR,0,0.89,0.72,-286.6,25.22,-0.638,0,56.8976,0.0757,0.7408,-0.0333,4779,-0.1435,0.6945,1.1715,0.1575,0.021,0.8231,1.3541,12686000000,N
CDNS,18.88%,0.133,1.05,49.76,14.18,3.857,33.81,32.5613,0.1077,0.5965,0.3137,-35.2141,1.1003,0.8777,0.7982,0.2657,0.0474,-0.5453,0.9324,36370000000,N
ASUR,39.81%,-0.757,1.09,-25.1,2.23,1.949,4.2,0,0.9116,1.4353,0,-9.5637,0,0,0,0,-0.0102,8.6538,-0.0829,155106000,N
DTSS,0,0,1.16,-36.71,52.22,-0.102,0,0,0.0715,0.5563,-0.1631,0,0,0,0,0,-0.0876,-0.001,-0.3171,73303000,Y
APPN,0,0.378,1.99,-427.83,51.83,-0.555,0,22.1201,0.1439,0.81,-0.0553,91.3817,-0.1761,0.6468,1.2085,-0.0925,-0.0161,-0.026,3.2838,15303000000,N
EGOV,7.52%,0.0377,0.28,19.49,3.89,0.897,30.01,0,0,0,0,0,0,0,0,0,0,0,0.1701,1804000000,Y
IDEX,0,0,0,-25.32,59.63,-0.885,0,4865.332,0.1088,1.995,-3.2538,2.3339,-1722.3901,-2.7952,148.5277,-80.0081,-0.04,-1.1924,1.3614,1438000000,N
GTYH,0,0.1907,0.37,-16.82,8.97,-1.282,0,27.1436,1.0449,0.334,-0.1121,349.4783,-3.1794,0.5786,2.0378,-0.6434,-0.017,0.131,-0.0766,417745000,N
FTFT,56.55%,0.2147,2.35,-29.62,371.46,2.568,1.94,0,-3.8547,-2.2075,0,-0.0158,0,0,0,0,-0.0116,-0.4587,3.2222,265402000,Y
PHUN,0,0.037,16.74,-8.05,10.12,-0.481,0,21.2062,0.0706,6.2161,-0.9647,38.2474,-1.4449,0.5301,2.4085,-0.1071,-0.0099,-1.7639,0.1724,102212000,N
GSKY,0,0.641,1.68,12.67,1.85,0.049,100.61,5.1904,0.0372,38.9692,0.079,-5.1546,0.0152,0.3162,0.7628,0.2084,0.0293,-0.0458,-0.4994,900129000,N
MDLA,0,1,0,-56.51,13.18,-1.558,0,43.5499,0.083,0.8393,-0.0801,7.6613,-0.2895,0.6447,1.2613,0.1768,0.0266,0.7093,0.0351,6244000000,N
EVBG,0,0.6973,0.74,-103.2,18.38,-2.394,0,49.1611,0.0785,2.8005,-0.0596,3.325,-0.2299,0.6785,1.1885,0.0256,0.0017,233.7054,0.8497,4712000000,N
VRNS,0,0.112,1.17,-73.21,20.58,-2.879,0,33.794,0.0381,2.4032,-0.1566,6.0582,-0.2019,0.8702,1.193,-0.0001,0,-38.7143,1.1325,5608000000,N
MGIC,3.42%,0.089,1.29,15.1,2.21,0.333,48.56,5.1181,0.5326,0.4761,0.0207,-11.2053,0.0563,0.3065,0.904,0.1458,0.0328,-0.8336,0.6576,815117000,N
MDB,0,0.341,0.83,-128.22,41.18,-4.367,0,62.9082,0.0107,15.0343,-0.7551,4.6308,-0.5065,0.7183,1.3311,-0.0698,-0.0065,-66.1864,1.8318,22275000000,N
WORK,0,0.6223,0,-99.11,28.36,-1.772,0,59.894,0.0651,1.0127,-0.1256,17.9029,-0.4893,0.866,1.3138,0.0578,0.0073,0.2487,0.9059,24305000000,N
RMNI,0,-1.377,0.63,21.19,1.95,-0.254,0,3.9666,-0.7205,-1.3089,0.0005,-172.6087,-0.0016,0.6107,0.9548,-0.0077,-0.003,5.7663,0.0938,537809000,N
PCYG,3.28%,-0.25,1.58,37.48,5.08,0.069,87.54,20.752,0.4246,0.2575,0.0156,-55.5726,0.1371,0.7054,0.87,0.405,0.0365,-0.5399,-0.0331,117955000,N
EVOL,-9.51%,-0.074,1.23,13.93,0.91,-0.115,0,1.6062,0.8493,1.1728,-0.1512,-7.5763,-0.2063,0.6355,0.9903,0.0762,0.0257,-3.0629,1.0795,25610000,N
ZDGE,0,0.6667,0.99,29.89,7.62,0.108,67.31,6.9894,0.3601,0.3766,0.015,0,0.0378,0.8835,0.9701,0.2167,0.0626,0.3927,2.9351,91048000,N
BB,17.40%,2.5833,1.28,70.07,8.13,-1.485,0,12.8088,0.7001,0.5374,-0.0162,-7.5,-0.1454,0.7518,1.0248,0.1206,0.0087,0.0294,0.0389,7875000000,N
PFPT,63.67%,0.266,1.26,-2150.57,7.14,-2.757,0,27.3865,0.0889,2.9452,-0.0485,0.2088,-0.118,0.7401,1.0974,0.3139,0.0327,-0.155,0.1789,7449000000,N
VERI,0,0.119,3.55,-23.92,19.4,-1.9,0,6.0545,0.6291,1.289,-0.3139,0,-1.1957,0.6708,2.153,-0.939,-0.1077,-0.5639,11.2827,1249000000,N
CDK,27.67%,0.1367,1.38,13.11,4.33,1.489,33.51,13.1098,-0.0976,-5.5723,-0.0349,-4.8764,0.0446,0.5278,0.694,0.2132,0.0363,-1.7484,-0.0424,6072000000,N
AVYA,0,0.146,1.76,10.06,1.55,-7.451,0,1.5804,0.985,5.3208,-0.0485,-1.5,-0.0755,0.6112,0.9678,0.0168,0.0017,-22.5833,0.4105,1866000000,N
TNAV,-41.42%,2.0577,0.38,20.79,0.55,0.128,37.19,3.0993,0.4651,1.9822,0.1221,0,0.1761,0.5435,0.8393,0.1671,0.0389,-0.3512,-0.0105,228478000,N
MTLS,0,-0.538,0.94,0,0,0.097,673.09,19.6547,0.14,1.4804,0.0095,-7.4454,0.026,0.5635,0.9489,0.1117,0.0162,-0.9104,1.9799,3537000000,N
OBLG,0,0,0,-4.32,2.05,0,0,161.484,1.9521,0.6024,0.1506,-34.701,47.4814,-67.1239,-79.3748,88.9662,0.1761,0.1108,2.9583,33862000,N
GWRE,23.99%,1.4197,1.36,919.57,11.81,-0.392,0,52.8501,0.1737,0.395,-0.0125,1.6746,-0.115,0.5181,1.1039,0.1123,0.0088,0.0447,0.1717,9610000000,N
APPF,58.61%,0,1.16,239.7,16.73,4.571,33.43,29.1913,0.0671,0.9712,0.0336,-7.9744,0.0657,0.608,0.9987,0.2297,0.0595,-0.0409,0.6504,5246000000,N
MANT,12.47%,0.2497,0.78,16.17,1.46,3.18,28.2,3.5266,0.6993,0.4141,0.0273,-107.5158,0.0672,0.1476,0.9371,-0.0191,-0.0055,-0.3752,0.1177,3620000000,N
OSPN,-31.36%,1.193,0.66,70.66,3.61,0.045,518.22,9.8137,0.3789,0.4566,0.0191,0,0.0711,0.699,0.917,0.4494,0.083,-0.0055,0.2035,947585000,N
